location_id,age_group_id,year_id,metric_name,measure_name,sex_id,mean,lower,upper,age_group_name,location_name
6,1,2021,rate,mortality,3,0.340392959,0.277539779,0.425088881,<5,China
6,1,2021,rate,incidence,3,12.62146756,10.61340649,15.66633888,<5,China
6,23,2021,rate,mortality,3,0.056359221,0.047962024,0.070499571,5 to 14,China
6,23,2021,rate,incidence,3,7.877932581,5.665042615,10.99249801,5 to 14,China
6,24,2021,rate,mortality,3,1.077513876,0.86852718,1.461332897,15-49,China
6,24,2021,rate,incidence,3,36.22083097,30.73375799,42.99020336,15-49,China
6,25,2021,rate,mortality,3,3.788447423,2.929932418,5.11385709,50-69,China
6,25,2021,rate,incidence,3,64.56236611,51.96653089,78.66252974,50-69,China
6,26,2021,rate,mortality,3,14.03622428,11.40778314,18.97854282,70+,China
6,26,2021,rate,incidence,3,108.0940087,86.42494987,132.4132278,70+,China
7,1,2021,rate,mortality,3,4.514976346,2.902396199,6.538532083,<5,Democratic People's Republic of Korea
7,1,2021,rate,incidence,3,98.74569502,82.23674687,125.2101679,<5,Democratic People's Republic of Korea
7,23,2021,rate,mortality,3,0.972783274,0.675538672,1.383301428,5 to 14,Democratic People's Republic of Korea
7,23,2021,rate,incidence,3,57.18711588,37.70308619,81.23896887,5 to 14,Democratic People's Republic of Korea
7,24,2021,rate,mortality,3,18.10518505,12.78104509,26.94136331,15-49,Democratic People's Republic of Korea
7,24,2021,rate,incidence,3,242.2619905,197.6665284,281.2951216,15-49,Democratic People's Republic of Korea
7,25,2021,rate,mortality,3,80.94966138,54.55848106,111.3099774,50-69,Democratic People's Republic of Korea
7,25,2021,rate,incidence,3,515.6715142,430.7258312,619.552461,50-69,Democratic People's Republic of Korea
7,26,2021,rate,mortality,3,200.2339,140.5863715,264.5078114,70+,Democratic People's Republic of Korea
7,26,2021,rate,incidence,3,730.2153871,583.3937641,897.3521106,70+,Democratic People's Republic of Korea
8,1,2021,rate,mortality,3,0.162240904,0.136489683,0.186141999,<5,Taiwan (Province of China)
8,1,2021,rate,incidence,3,14.89505301,11.88568687,18.6993658,<5,Taiwan (Province of China)
8,23,2021,rate,mortality,3,0.032971087,0.028694744,0.038075801,5 to 14,Taiwan (Province of China)
8,23,2021,rate,incidence,3,9.770110957,6.430873283,14.43186544,5 to 14,Taiwan (Province of China)
8,24,2021,rate,mortality,3,0.476643847,0.422582657,0.536475197,15-49,Taiwan (Province of China)
8,24,2021,rate,incidence,3,30.16027473,24.05733661,36.60288516,15-49,Taiwan (Province of China)
8,25,2021,rate,mortality,3,2.044407137,1.839379743,2.220629711,50-69,Taiwan (Province of China)
8,25,2021,rate,incidence,3,53.09173369,41.19713664,67.52810244,50-69,Taiwan (Province of China)
8,26,2021,rate,mortality,3,19.50145921,17.08114567,21.51242908,70+,Taiwan (Province of China)
8,26,2021,rate,incidence,3,124.2906863,95.06460838,153.6696365,70+,Taiwan (Province of China)
10,1,2021,rate,mortality,3,7.571637245,4.373525683,12.31283019,<5,Cambodia
10,1,2021,rate,incidence,3,74.26786625,59.59797022,91.73342482,<5,Cambodia
10,23,2021,rate,mortality,3,2.465323888,1.649493571,3.578797365,5 to 14,Cambodia
10,23,2021,rate,incidence,3,63.767847,42.4276653,90.39990114,5 to 14,Cambodia
10,24,2021,rate,mortality,3,21.28001402,14.6760558,30.15964235,15-49,Cambodia
10,24,2021,rate,incidence,3,233.7890378,194.5449431,276.0402834,15-49,Cambodia
10,25,2021,rate,mortality,3,120.0722259,77.19174006,163.5224756,50-69,Cambodia
10,25,2021,rate,incidence,3,593.8538009,472.4237549,718.8041127,50-69,Cambodia
10,26,2021,rate,mortality,3,351.5490739,242.6764044,497.4948053,70+,Cambodia
